Episode 284, Score: 2.76025, Steps: 16819, Episode Time: 0h 2m 53.06400942802429s
Episode 285, Score: 2.54077, Steps: 16819, Episode Time: 0h 2m 53.99724316596985s
Episode 286, Score: 0.883301, Steps: 16819, Episode Time: 0h 2m 53.82369685173035s
Episode 287, Score: 9.073, Steps: 16822, Episode Time: 0h 2m 52.86477875709534s
Episode 288, Score: 9.49951, Steps: 16826, Episode Time: 0h 2m 53.12029051780701s
Episode 289, Score: 7.77686, Steps: 16819, Episode Time: 0h 2m 52.620993852615356s
Episode 290, Score: 8.22705, Steps: 16819, Episode Time: 0h 2m 54.4415762424469s
Episode 291, Score: 6.84619, Steps: 16819, Episode Time: 0h 2m 54.10184025764465s
Episode 292, Score: -1.677, Steps: 16819, Episode Time: 0h 2m 53.759238958358765s
Episode 293, Score: 4.91431, Steps: 16819, Episode Time: 0h 2m 53.415794372558594s
Episode 294, Score: 6.67773, Steps: 16819, Episode Time: 0h 2m 53.449077129364014s
Episode 295, Score: 11.8181, Steps: 16819, Episode Time: 0h 2m 53.88286256790161s
Episode 296, Score: 8.60034, Steps: 16819, Episode Time: 0h 2m 53.288514375686646s
Episode 297, Score: 25.8665, Steps: 16819, Episode Time: 0h 2m 53.52717566490173s
Episode 298, Score: 8.53906, Steps: 16819, Episode Time: 0h 2m 53.948018074035645s
Episode 299, Score: 8.10645, Steps: 16819, Episode Time: 0h 2m 53.6768000125885s
Episode 300, Score: 12.1506, Steps: 16819, Episode Time: 0h 2m 53.17171764373779s
Episode 301, Score: 7.63965, Steps: 16819, Episode Time: 0h 2m 53.86753463745117s
Episode 302, Score: 7.57373, Steps: 16824, Episode Time: 0h 2m 53.34704232215881s
Episode 303, Score: 7.90991, Steps: 16819, Episode Time: 0h 2m 53.51719522476196s
Episode 304, Score: 6.36548, Steps: 16819, Episode Time: 0h 2m 53.54154324531555s
Episode 305, Score: 7.35376, Steps: 16819, Episode Time: 0h 2m 53.84324645996094s
Episode 306, Score: 7.69214, Steps: 16819, Episode Time: 0h 2m 53.001986265182495s
Episode 307, Score: 8.32983, Steps: 16819, Episode Time: 0h 2m 54.0074577331543s
Episode 308, Score: 9.98438, Steps: 16819, Episode Time: 0h 2m 53.87811899185181s
Episode 309, Score: 7.72168, Steps: 16819, Episode Time: 0h 2m 53.1970272064209s
Episode 310, Score: 8.28027, Steps: 16819, Episode Time: 0h 2m 54.243733167648315s
Episode 311, Score: 8.72266, Steps: 16819, Episode Time: 0h 2m 53.328006982803345s
